trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-110.69534707081893,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-87.95493475373938,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-284.6186539237176,"{0: 18, 1: 4, 2: 6, 3: 3, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-44.33261813124871,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-154.63289451421144,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-187.15330646004415,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,2.577027755396854,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-127.56142471153198,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-122.00622677464406,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-113.2603413239122,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,12,-1.0223072146928267,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-3.990808373756918,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,1,-83.94109926623882,"{0: 21, 1: 2, 2: 2, 3: 4, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-84.46816030653372,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,7,-9.082128582207556,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,3,-81.0282691575284,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-75.17445202149737,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-23.080837132864435,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,14,13.658354742773682,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-5.405424372261644,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-53.789906124914566,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-4.853562049181151,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-5.838451091714866,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,0.687273880021259,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-56.084338161012454,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-5.056953306108168,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-15.81679168006941,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-4.622877207771333,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",35,11,-38.67263620749541,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-6.14086003294048,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
