trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9965402628278678}",20,0,-29.36398570016979,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9930924954370359}",20,0,-97.08973953015112,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.989656656415207}",20,0,-38.75037728309285,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9862327044933592}",35,0,-130.42365830076494,"{0: 24, 1: 1, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9828205985452511}",20,0,-93.04228206561721,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9794202975869268}",25,0,-70.63888051623806,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9760317607762247}",30,0,-244.4022741915681,"{0: 16, 1: 3, 2: 5, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9726549474122855}",30,0,-106.4550553173661,"{0: 16, 1: 5, 2: 8, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.969289816935065}",25,0,-182.9867129263752,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9659363289248456}",20,0,-190.85867207032612,"{0: 12, 1: 0, 2: 2, 3: 3, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9625944431017514}",25,0,-143.55442670707976,"{0: 12, 1: 7, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9592641193252643}",25,0,-124.12031430128455,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9559453175937421}",20,0,-27.235526196304743,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9526379980439373}",25,7,16.906336611583683,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9493421209505192}",30,0,-28.233548682484994,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 0}",0
