trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.33363526342804,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.90404112877005,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-232.37784462732765,"{0: 11, 1: 5, 2: 4, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.92238125341916,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.35311228901415,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-99.49692726393198,"{0: 16, 1: 6, 2: 7, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.35947518176737,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-83.8669494223429,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,3,-50.989233315952596,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.08069948777704,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.09212894801833,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.43258119704092,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.24556402526596,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.9865019459509,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-177.5994533476139,"{0: 19, 1: 1, 2: 5, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-250.27594337926237,"{0: 14, 1: 5, 2: 6, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.24312896428961,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.21966001649593,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.8665033164994,"{0: 12, 1: 2, 2: 7, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-113.10575397268973,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-134.10234705054424,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-176.86267785145088,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-175.34885655630313,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-90.6304210293316,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-130.034883005483,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-157.8912476545833,"{0: 20, 1: 6, 2: 7, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-99.25957569083286,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.16240335007517,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-203.13619617189312,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,6,-132.464077469183,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 1}",1
